Symbol,Name,IPO Year,Sector,Industry
RMGCU,RMG Acquisition Corp. III Unit,2021.0,Finance,Business Services
RMGCW,RMG Acquisition Corp. III Warrant,2021.0,Finance,Business Services
RMI,RiverNorth Opportunistic Municipal Income Fund Inc. Common Stock,2018.0,Finance,Finance/Investors Services
RMM,RiverNorth Managed Duration Municipal Income Fund Inc. Common Stock,2019.0,Finance,Trusts Except Educational Religious and Charitable
RMMZ,RiverNorth Managed Duration Municipal Income Fund II Inc. Common Stock,2022.0,Finance,Investment Managers
RMNI,Rimini Street Inc. (DE) Common Stock,2015.0,Technology,EDP Services
RMO,Romeo Power Inc. Class A Common Stock,2019.0,Consumer Discretionary,Automotive Aftermarket
RMTI,Rockwell Medical Inc. Common Stock,1998.0,Health Care,Biotechnology: Pharmaceutical Preparations
RNA,Avidity Biosciences Inc. Common Stock,2020.0,Health Care,Biotechnology: Pharmaceutical Preparations
RNAZ,TransCode Therapeutics Inc. Common Stock,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
RNDB,Randolph Bancorp Inc. Common Stock,2016.0,Finance,Major Banks
RNER,Mount Rainier Acquisition Corp. Common Stock,2022.0,Industrials,Consumer Electronics/Appliances
RNERW,Mount Rainier Acquisition Corp. Warrant,2022.0,Industrials,Consumer Electronics/Appliances
RNG,RingCentral Inc. Class A Common Stock,2013.0,Technology,EDP Services
RNGR,Ranger Energy Services Inc. Class A Common Stock,2017.0,Energy,Oilfield Services/Equipment
RNLX,Renalytix plc American Depositary Shares,2020.0,Health Care,Medical Specialities
RNP,Cohen & Steers REIT and Preferred and Income Fund Inc. Common Shares,2003.0,Finance,Investment Managers
RNWK,RealNetworks Inc. Common Stock,1997.0,Technology,Computer Software: Prepackaged Software
RNXT,RenovoRx Inc. Common Stock,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
ROAD,Construction Partners Inc. Class A Common Stock,2018.0,Industrials,Engineering & Construction
ROC,ROC Energy Acquisition Corp. Common Stock,2021.0,Industrials,Consumer Electronics/Appliances
ROCAR,ROC Energy Acquisition Corp. Rights,2021.0,Industrials,Consumer Electronics/Appliances
ROCG,Roth CH Acquisition IV Co. Common Stock,2021.0,Industrials,Consumer Electronics/Appliances
ROCL,Roth CH Acquisition V Co. Common Stock,2022.0,Industrials,Consumer Electronics/Appliances
ROCLU,Roth CH Acquisition V Co. Unit,2021.0,Industrials,Consumer Electronics/Appliances
ROCLW,Roth CH Acquisition V Co. Warrant,2022.0,Industrials,Consumer Electronics/Appliances
ROG,Rogers Corporation Common Stock,1960.0,Technology,Industrial Machinery/Components
ROKU,Roku Inc. Class A Common Stock,2017.0,Telecommunications,Cable & Other Pay Television Services
ROLL,RBC Bearings Incorporated Common Stock,2005.0,Industrials,Metal Fabrications
ROOT,Root Inc. Class A Common Stock,2020.0,Finance,Property-Casualty Insurers
ROP,Roper Technologies Inc. Common Stock,1992.0,Industrials,Office Equipment/Supplies/Services
ROST,Ross Stores Inc. Common Stock,1985.0,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ROVR,Rover Group Inc. Class A Common Stock,2021.0,Consumer Discretionary,Other Consumer Services
RPAY,Repay Holdings Corporation Class A Common Stock,2018.0,Technology,EDP Services
RPD,Rapid7 Inc. Common Stock,2015.0,Technology,Computer Software: Prepackaged Software
RPHM,Reneo Pharmaceuticals Inc. Common Stock,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
RPID,Rapid Micro Biosystems Inc. Class A Common Stock,2021.0,Health Care,Medical Specialities
RPRX,Royalty Pharma plc Class A Ordinary Shares ,2020.0,Health Care,Biotechnology: Pharmaceutical Preparations
